Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0qWoOHqTirzo59FQ9eoECH,"All I Did Was Dream of You (feat. The Marías)","All I Did Was Dream of You (feat. The Marías)","beabadoobee;The Marías",2026-03-12,223788,77,false,,2026-03-12T23:42:45Z,"bedroom pop","beabadoobee",0.408,0.541,9,-7.881,1,0.0269,0.118,0.00544,0.14,0.214,165.917,4
spotify:track:61OJxhoY3Ix50rYVKo8zRK,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,79,false,,2026-02-06T00:41:42Z,"indie rock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,4
spotify:track:5euumi7eqEgmxvCIJw2pSp,"Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,69,false,,2026-02-05T22:16:37Z,"indie rock","Very Nice Records",0.707,0.768,7,-7.072,1,0.0323,0.0279,0.000292,0.169,0.832,139.985,4
spotify:track:19Hg1UCZaCdpHB37L7x63X,"EVERYTHING","TEAM BABY","The Black Skirts",2017-05-30,293000,69,false,,2025-12-06T19:01:55Z,"k-rock,k-ballad","DOGGYRICH FOREVER, BESPOK.",0.54,0.373,6,-8.591,1,0.0278,0.651,0.927,0.146,0.387,119.843,4
spotify:track:3SeDS5sSoWnwAZvVgkdKzf,"Better in the Dark","Summer's Over","Jordana;TV Girl",2021-10-13,155500,82,false,,2025-12-06T19:01:39Z,"","Summer's Over",0.678,0.64,9,-7.486,1,0.0268,0.283,0.00067,0.682,0.701,90.058,4
spotify:track:2MvvoeRt8NcOXWESkxWn3g,"Ribs","Pure Heroine","Lorde",2013-09-27,258969,84,false,,2025-11-26T01:57:10Z,"","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
spotify:track:17AnW24hC6ZU6P8VQwElH9,"Not the Only One","Melt","Not For Radio",2025-10-10,226553,64,false,,2025-11-20T21:25:37Z,"","Nice Life/Atlantic",0.539,0.428,0,-9.238,1,0.024,0.222,0.205,0.0587,0.192,74.683,4
spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,"Style","1989","Taylor Swift",2014-10-27,231000,79,false,,2025-11-20T00:59:53Z,"","Taylor Swift",0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,4
spotify:track:3hEfpBHxgieRLz4t3kLNEg,"About You","Being Funny In A Foreign Language","The 1975",2022-10-14,326490,89,false,,2025-11-20T00:42:12Z,"","Dirty Hit",0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4
spotify:track:43rJxnkXh5fa841vweoXiL,"Get Bummed Out","All of Something","Remember Sports",2015-10-30,144981,44,false,,2025-11-16T03:15:02Z,"indie punk,midwest emo","Father/Daughter Records",0.201,0.91,11,-4.288,0,0.104,0.00074,0.0618,0.115,0.67,192.209,4
spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,"Payphone","Overexposed","Maroon 5;Wiz Khalifa",2021-06-20,231386,72,true,,2025-11-13T15:20:26Z,"pop","Interscope Records*",0.739,0.756,4,-4.828,1,0.0393,0.0136,0,0.37,0.522,110.028,4
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,"Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,false,,2025-11-13T15:20:10Z,"folk pop","F-Stop Records/Atlantic",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
spotify:track:3QzAOrNlsabgbMwlZt7TAY,"Ballin' (with Roddy Ricch)","Perfect Ten","Mustard;Roddy Ricch",2019-06-28,180434,77,true,,2025-11-13T15:20:09Z,"melodic rap","10 Summers Records/Interscope Records",0.809,0.545,7,-6.678,1,0.0734,0.392,0,0.151,0.244,97.008,4
spotify:track:2ksyzVfU0WJoBpu8otr4pz,"METAMORPHOSIS","METAMORPHOSIS","INTERWORLD",2021-11-25,142839,77,true,,2025-11-13T15:20:06Z,"phonk,drift phonk,brazilian phonk","INTERWORLD",0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,4
spotify:track:2iP3unJbxZvRuqyrS0ocZy,"Heartless (feat. Mustard)","THE GOAT","Polo G;Mustard",2020-05-15,204000,67,true,,2025-11-13T13:28:00Z,"","Columbia",0.776,0.64,7,-8.058,1,0.184,0.149,0,0.101,0.326,160.038,4
spotify:track:7eBqSVxrzQZtK2mmgRG6lC,"Murder on My Mind","I AM YOU","YNW Melly",2018-08-03,268434,80,true,,2025-11-13T13:27:44Z,"melodic rap","P2018",0.759,0.73,0,-7.985,0,0.0516,0.145,0.00000306,0.11,0.74,115.007,4
spotify:track:1lOe9qE0vR9zwWQAOk6CoO,"Ransom","We Love You Tecca","Lil Tecca",2019-08-30,131240,85,true,,2025-11-13T13:26:49Z,"melodic rap,rap","Republic Records",0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
spotify:track:4sjiIpEv617LDXaidKioOI,"223's (feat. 9lokknine)","223's (feat. 9lokknine)","YNW Melly;9lokknine",2019-08-09,176640,60,true,,2025-11-13T13:26:43Z,"melodic rap","300 Entertainment",0.932,0.547,0,-7.787,0,0.333,0.0388,0,0.0924,0.695,94.998,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,95,false,,2025-11-13T04:34:55Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,"Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,82,false,,2025-11-13T01:33:33Z,"","Hollywood Records",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
spotify:track:7ghKr0pCYyPPyp7t1FH8k4,"Les","Camp","Childish Gambino",2011-11-15,317293,88,true,,2025-11-09T23:55:46Z,"","Glassnote - VMG",0.543,0.674,1,-7.038,0,0.083,0.00654,0.000094,0.221,0.129,102.891,4
spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,"No Pole","Love Sick (Deluxe)","Don Toliver",2023-02-28,187613,89,true,,2025-11-09T23:55:40Z,"","Cactus Jack / Atlantic",0.328,0.631,5,-5.169,0,0.0465,0.0714,0,0.567,0.382,85.262,4
spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,"Love Me Like You Do","Fifty Shades Freed (Original Motion Picture Soundtrack)","Ellie Goulding",2018-02-09,253520,83,false,,2025-11-06T18:44:41Z,"","Republic/Universal/FSF",0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.323,95.013,4
spotify:track:3s9eWdn8IymCPvVLcKpjww,"The Moon Song","The Moon Song","beabadoobee;Oscar Lang",2017-11-06,141040,62,false,,2025-10-30T18:07:23Z,"bedroom pop","Dirty Hit",0.405,0.0854,0,-15.488,1,0.0336,0.968,0.0121,0.139,0.148,93.768,4
spotify:track:4QKBJA0Wq3ReRFVHkgfEeu,"Outside - Slowed + Reverb","Outside (Slowed + Reverb)","skyemane;Aiden Music",2023-06-06,195082,56,false,,2025-10-30T14:40:56Z,"hypertechno,afro house,techno","skyemane",0.714,0.536,11,-10.084,0,0.0381,0.0614,0.0000256,0.0974,0.391,112.392,4
spotify:track:7oTth77HJhTFyHHI5jjrh9,"Counting Stars","Native (Standard)","OneRepublic",2013-01-01,257266,58,false,,2025-10-30T14:39:10Z,"","Mosley / Interscope",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,4
spotify:track:0SiywuOBRcynK0uKGWdCnn,"Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,88,true,,2025-10-30T14:39:05Z,"art pop,pop","Interscope",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
spotify:track:0QkWikH5Z3U0f79T9iuF6c,"Judas","Born This Way","Lady Gaga",2011-01-01,249066,77,false,,2025-10-30T14:39:00Z,"art pop,pop","Interscope",0.661,0.937,10,-3.83,0,0.0744,0.000967,0.0000158,0.355,0.535,130.999,4
spotify:track:3GCL1PydwsLodcpv0Ll1ch,"You Belong With Me","Fearless","Taylor Swift",2008-11-11,231133,72,false,,2025-10-28T19:09:43Z,"","Taylor Swift",0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,4
spotify:track:6GiCszfL4D2GlCU8tFU3sR,"Si Me Voy (with The Marías)","Si Me Voy (with The Marías)","Cuco;The Marías",2023-03-10,203219,65,false,,2025-10-22T00:17:02Z,"bedroom pop","Walk The Trail, Inc under exclusive license to Interscope Records",0.621,0.784,4,-8.29,1,0.0313,0.258,0.172,0.15,0.416,124.007,4
spotify:track:0cqrg8N4D0260NkHGUoS0z,"Puddles","Melt","Not For Radio",2025-10-10,324864,64,false,,2025-10-19T04:10:58Z,"","Nice Life/Atlantic",0.384,0.433,9,-11.112,1,0.0316,0.671,0.0998,0.082,0.146,182.015,4
spotify:track:6ra0162M1vgBI3Ams3r2SK,"Confidence","Premiers pas","Kim",2009-01-01,224360,76,false,,2025-10-15T04:24:37Z,"zouk,kompa,kizomba,french r&b","Section Zouk",0.557,0.802,10,-5.269,0,0.0895,0.533,0.0000111,0.101,0.551,175.835,4
spotify:track:47rCs1JJXC6AG20WKbyOUR,"Back To You","Melt","Not For Radio",2025-10-10,275842,67,false,,2025-10-14T19:07:52Z,"","Nice Life/Atlantic",0.481,0.353,8,-10.732,1,0.0274,0.704,0.0428,0.117,0.063,133.282,4
